sample_id,job_id,model_label,tier,condition,stratum,stratum_population,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
11,4a32ea7525fb,Mistral Small 2603,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,61,27,27.2
12,573f611d8345,Qwen 3.6 27B,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,100,21,29
13,e9ab20fa4186,GPT-5.6 Luna,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,78,32,53
14,65367a4f8e79,GPT-6 Astra,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,80,72,66.8
15,08e253074458,Qwen 3.6 27B,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,148,35,28.5
16,2d79eafa72a0,Llama 4 Maverick,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,5,A,64,70,68
17,0482c60b7520,GPT-5.6 Terra,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,62,39,30.5
18,215c21bbbe1d,Qwen 3.8 Max,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,78,33,31.8
19,a70d0081f53b,GPT-5.6 Terra,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,72,14,21.5
20,36fcf50d4816,Gemini 3.8 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,E,126,9,11
21,4a0b5b945f6e,Llama 4 Maverick,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,C,56,7,6.8
22,dd1a77603cb0,DeepSeek V4 Flash,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,89,36,30.8
23,e7f9b21f89d7,DeepSeek V4 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,D,75,12,22.8
24,923a62c2aa58,Gemini 3.1 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,88,19,15.5
25,91c86e98d54c,GPT-5.6 Luna,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,72,68,63.8
26,83ace857d808,Qwen 3.8 Max,flagship,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,A,56,62,52
27,e571c69d8d4f,Mistral Small 2603,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,79,124,108
28,9837ab8f5c64,Qwen 3.6 27B,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,C,91,23,31.8
29,a4def7b63048,Qwen 3.6 27B,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,75,54,54
30,0e96a44a8ff6,Gemini 3.8 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,79,72,73.2
31,1ba4e98933c6,GPT-5.6 Luna,base,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,B,80,53,52.8
32,9bb4cdf25c55,Claude Sonnet 5,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,5,A,99,51,44.2
33,a67aecca7392,GPT-5.6 Luna,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,5,A,73,82,64.5
34,416c4e2451a6,Qwen 3.8 Max,flagship,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,C,109,24,27.8
35,951eae3debdf,Claude Opus 5,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,5,A,146,60,45
36,6824b562dfd8,Qwen 3.6 27B,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,117,30,35
37,59d1bba2cad4,Qwen 3.8 Max,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,C,92,21,23
38,d247f49b014d,GPT-6 Astra,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,114,37,33.8
39,5c35ba9ad197,Qwen 3.6 27B,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,90,55,53.5
40,566393a3d346,GPT-5.6 Luna,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,5,A,81,24,19
41,72823444e810,DeepSeek V4 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,B,69,29,14.8
42,f0166f073e64,Claude Opus 5,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3,5,B,103,14,36.8
43,a911c413a3fb,Claude Sonnet 5,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,5,A,96,161,68.2
44,152396dac295,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,153,46,28.5
45,cdd5ab9413fb,GPT-6 Astra,flagship,guided,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,D,96,22,20.2
46,39e668ea55ea,Qwen 3.6 27B,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,139,28,27
47,fae9d6e0c536,Grok 4.6,flagship,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,E,70,20,25
48,c71373b75a3d,Gemini 3.1 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,66,89,73.5
49,0c67689aa9ac,Grok 4.6,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,51,10,12.5
50,4f6486402fd3,GPT-6 Astra,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,C,84,18,22.8
51,af8eef081929,GPT-5.6 Luna,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,79,24,31.5
52,32d5f9bf0ec8,Grok 4.6,flagship,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,C,63,43,43.2
53,9c9ee2519326,Gemini 3.1 Pro,flagship,plain,flagged:combination_options,133,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,A,108,62,41.5
54,5201d96376d0,Mistral Small 2603,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,87,74,29.8
55,02cbdbcb0490,DeepSeek V4 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,99,80,25.8
56,171422495c7f,Gemini 3.1 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,102,46,45.2
57,327dbcd3439d,DeepSeek V4 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,67,65,66.5
58,a927ceb84726,DeepSeek V4 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,68,26,28.8
59,02ea023edcc5,Claude Sonnet 5,base,guided,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,D,109,10,29.5
60,f05c8ef5a355,Claude Sonnet 5,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,5,A,116,81,62.2
61,8bd64ee449b5,Llama 4 Maverick,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,35,29,21.8
62,fc6cab527435,Claude Opus 5,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,D,121,64,20.2
63,19231802b279,GPT-5.6 Terra,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,C,75,112,64.5
64,bdccfd49e26e,Qwen 3.6 27B,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,85,36,36.8
65,8d7a3b0e4cae,Mistral Small 2603,base,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,A,83,17,29
66,6a2f4b4ed588,GPT-5.6 Terra,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,A,63,59,32.2
67,491e264582a2,Grok 4.6,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,A,94,41,22
68,f153600826c2,DeepSeek V4 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,75,16,16.8
69,69d5fac7684e,Qwen 3.8 Max,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,51,62,43.5
70,31b474f94b32,GPT-5.6 Terra,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,D,91,59,43
71,01a8f33829e8,GPT-5.6 Luna,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,A,96,60,18
72,76ca4e851bdb,Qwen 3.6 27B,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,A,106,22,36.2
73,7e513bcbea1d,GPT-6 Astra,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,C,86,100,96
74,55022f651457,DeepSeek V4 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,50,27,39
75,0b0bbed94a62,Grok 4.6,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,54,15,27.8
76,4cf26815bce4,Llama 4 Maverick,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,40,13,9.5
77,1f5fdfdd3e61,Gemini 3.8 Flash,base,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,C,115,97,84.2
78,038a19740553,Grok 4.6,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,88,21,20
79,c07f1c468936,Llama 4 Maverick,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,46,46,57.5
80,b2f574225f00,Claude Sonnet 5,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,A,110,51,32.5
81,2aa288e4a5f6,Gemini 3.1 Pro,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,A,143,16,29.8
82,d45d4a075308,Mistral Small 2603,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,34,60,41.8
83,a9c57a01ddca,GPT-5.6 Terra,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,A,84,69,29.2
84,861cc7d6e500,Claude Fable 5.1,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,110,14,14.2
85,5b7a7a1156af,Claude Fable 5.1,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,E,100,34,27.5
86,2d9745cd3f08,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,41,97,61.2
87,5f55d66befed,Claude Fable 5.1,flagship,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,C,110,71,70.2
88,0f54a8a93e0d,DeepSeek V4 Pro,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,58,44,38.8
89,f80a19a729b9,Claude Fable 5.1,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,149,41,42
90,fe2592edba6e,GPT-6 Astra,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,101,11,12
91,3764399c66a8,GPT-5.6 Terra,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,94,119,91.5
92,f506d80eac4c,Qwen 3.8 Max,flagship,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,C,90,9,8.5
93,84476330f458,DeepSeek V4 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,75,45,31.5
94,1c7307e6be5b,GPT-6 Astra,flagship,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,A,104,82,79
95,a43b02adbab7,Llama 4 Maverick,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,A,86,81,45
96,86a3018c64c3,Gemini 3.8 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,148,27,31
97,0392a275898f,GPT-6 Astra,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,128,29,26
98,73865640ebe9,Claude Sonnet 5,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,98,28,23
99,7b85891c39c4,Gemini 3.8 Flash,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,D,77,21,19.5
100,1413a0db1c43,Grok 4.6,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,4,5,D,83,47,22.2
101,1689c13c8b43,GPT-5.6 Luna,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,116,59,47.5
102,4e2f457d6c5b,Gemini 3.8 Flash,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,D,104,44,36.5
103,43fa227c4dc3,DeepSeek V4 Flash,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,77,40,41
104,860430c40c02,Qwen 3.8 Max,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,59,29,28.5
105,87694c2ef02d,GPT-6 Astra,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,C,100,35,29
106,bf0e83942084,DeepSeek V4 Pro,flagship,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,81,53,48
107,679899ed8f10,Qwen 3.6 27B,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,C,80,40,45.5
108,dd15a32f4006,GPT-6 Astra,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,C,75,10,10
109,079e29fc0455,Llama 4 Maverick,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,47,17,18.2
110,b88320f5e801,Claude Fable 5.1,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,130,14,21.5
111,fff444b6a922,Qwen 3.8 Max,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,C,88,51,33.2
112,69566f518369,Llama 4 Maverick,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,80,41,32
113,9f07ce9866e1,Claude Sonnet 5,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,D,51,94,54
114,5d7a31cf2fcd,Qwen 3.8 Max,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,D,135,31,21.5
115,472bcb1f80d9,GPT-5.6 Luna,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,A,63,60,17.8
116,38be63c80ece,GPT-5.6 Luna,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,67,34,43.5
117,1ef64803487a,Qwen 3.8 Max,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,106,21,32.8
118,95ec3f91c75f,Mistral Small 2603,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,96,64,62.2
119,10b7fd0b71c1,Claude Fable 5.1,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,B,131,94,83.2
120,ac8dde556011,Claude Sonnet 5,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,90,14,14.2
121,3ba0dbe9c00e,DeepSeek V4 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,104,42,46.8
122,d58ad373624f,GPT-6 Astra,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,A,79,11,13.5
123,4329faec2ee7,DeepSeek V4 Pro,flagship,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,A,65,57,53.2
124,c496c0a98f23,Gemini 3.8 Flash,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,5,C,91,130,89.2
125,78a4f5f42a83,Gemini 3.8 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,A,108,41,25.5
126,60d53f0555f9,GPT-5.6 Terra,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,72,16,19
127,70c98ebe0e10,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,116,43,30
128,95cd8154a323,Mistral Small 2603,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,A,56,79,52.5
129,a2d0d24d2590,Gemini 3.1 Pro,flagship,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,D,88,26,31.5
130,b2ee2a53d0af,GPT-5.6 Luna,base,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,A,56,23,21
131,5a31f8e86fa5,Claude Sonnet 5,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,109,30,25.5
132,7b50434142c1,Qwen 3.8 Max,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3,5,A,67,23,40.8
133,9a2e26d1b310,GPT-5.6 Terra,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,63,40,35
134,5d43533ca179,Claude Opus 5,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,157,44,21
135,e7d0ee97d70f,Mistral Small 2603,base,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,5,A,81,13,29
136,01aa2cf65343,Qwen 3.6 27B,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,C,65,9,18.2
137,e97394d499af,Qwen 3.8 Max,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,75,12,14
138,78a533244b96,GPT-5.6 Terra,base,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,B,51,40,50
139,3ce66b8587a3,Mistral Small 2603,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,63,92,66.2
140,65a91e5473ac,Claude Sonnet 5,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,87,15,13.8
141,1179603d288d,Gemini 3.8 Flash,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,B,98,34,28.8
142,8efd233714fc,DeepSeek V4 Pro,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,63,94,79.2
143,9e0363518d7a,DeepSeek V4 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,76,55,53.5
144,9bc4c78a808a,Mistral Small 2603,base,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,B,59,70,47
145,b8ea5af6a25d,Mistral Small 2603,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,5,C,71,107,72.8
146,e32a3049cc88,Claude Fable 5.1,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,102,114,80.5
147,239e9bc975d4,DeepSeek V4 Pro,flagship,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,A,83,31,35.8
148,00653c324613,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,37,78,43.2
149,cc2a5ef51530,Gemini 3.8 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,105,14,14.5
150,223984a1f5ff,Qwen 3.8 Max,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,C,81,39,27
151,259d2143628a,Claude Fable 5.1,flagship,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,A,90,52,47
152,8005e4b2aac0,DeepSeek V4 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,E,68,49,22.8
153,da123abfd7a2,GPT-5.6 Terra,base,guided,flagged:longest_option_key,975,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,A,66,43,28.8
154,548b0fc51127,GPT-6 Astra,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,C,112,16,19.5
155,62500c15af0e,Claude Fable 5.1,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,157,43,36.5
156,2fd69f57d57d,Claude Opus 5,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,158,51,49.8
