sample_id,job_id,model_label,tier,condition,stratum,stratum_population,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
24,16cede08616b,Grok 4.6,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,5,D,65,34,41.5,1.1
25,052b388ce1fa,Gemini 3.8 Flash,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,114,56,49,1.1
26,5e1181b95691,GPT-5.6 Terra,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,51,60,55.2,1.1
27,7664329416d5,Qwen 3.8 Max,flagship,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,55,23,27.5,1.1
28,bfe258522ba4,Gemini 3.8 Flash,base,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,C,111,51,23,1.1
29,af55c18b01d9,Mistral Small 2603,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,103,68,48.5,1.1
30,d906aeb36e9b,GPT-5.6 Terra,base,guided,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,C,46,42,39.8,1.1
31,8b958945a727,Claude Fable 5.1,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,75,61,59.5,1.1
32,cc5eb13146c1,DeepSeek V4 Pro,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,59,54,54,1.1
33,5188a716a7f8,GPT-5.6 Terra,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,63,134,67.8,1.1
34,5ec7443125fc,DeepSeek V4 Flash,base,guided,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,81,24,27.8,1.1
35,c52b15eec8a7,Llama 4 Maverick,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,56,49,45,1.1
36,5685a8a91f24,Gemini 3.1 Pro,flagship,guided,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,E,105,57,63.2,1.1
37,31eae68b6010,DeepSeek V4 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,E,83,88,46,1.1
38,daecbba7cd16,Qwen 3.6 27B,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,99,44,76.2,1.1
39,1c9a29c34d63,Claude Fable 5.1,flagship,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,5,C,139,54,22.2,1.1
40,dbb32518bcfe,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,A,62,70,23.5,1.1
41,d89cb5e81f5c,Claude Sonnet 5,base,guided,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,133,61,40.2,1.1
42,57d29f646252,Gemini 3.8 Flash,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,97,48,38.8,1.1
43,517a01b74b8c,Claude Opus 5,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,113,38,43.8,1.1
44,4319c78181e6,Claude Sonnet 5,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,90,14,14.2,1.1
45,2a797c846c58,Claude Opus 5,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,162,43,9.2,1.1
46,6ea9c336826b,Claude Sonnet 5,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,B,107,65,54,1.1
47,9c103bbd7248,GPT-5.6 Terra,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,89,34,34.2,1.1
48,e21160a2318e,Qwen 3.6 27B,base,plain,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,D,114,52,35.5,1.1
49,86b348c0433e,Claude Opus 5,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,91,48,54.5,1.1
50,c93258b7b837,DeepSeek V4 Pro,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,80,80,66.8,1.1
51,30a1d645cf00,Qwen 3.8 Max,flagship,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,C,136,27,22.5,1.1
52,c9c8c1e709c8,GPT-6 Astra,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,C,59,17,27.5,1.1
53,1e1834441537,Grok 4.6,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,53,14,10.2,1.1
54,f195c93401a3,GPT-5.6 Terra,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,C,52,116,62.5,1.1
55,7bdfc0787e77,GPT-5.6 Luna,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,86,90,55.5,1.1
56,2f27e41b681e,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,128,69,30.2,1.1
57,825c44cdaaac,GPT-5.6 Terra,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,73,28,28,1.1
58,a30830b56236,Mistral Small 2603,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,74,60,83.5,1.1
59,e0f4a7cb74f1,DeepSeek V4 Pro,flagship,guided,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,A,58,18,18.5,1.1
60,97a4900a6aeb,DeepSeek V4 Flash,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,53,12,12.5,1.1
61,8284cf7367e9,Qwen 3.6 27B,base,plain,flagged:overlapping_options,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,A,112,9,16.8,1.1
62,3d82b1d0a8ba,Qwen 3.8 Max,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,73,15,14.8,1.1
63,4f0ce0ed0c8a,Claude Opus 5,flagship,guided,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,100,52,54.5,1.1
64,3409a5d2ce45,GPT-5.6 Luna,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,67,44,30.5,1.1
65,2b025d0b4486,DeepSeek V4 Flash,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,A,70,61,40.5,1.1
66,eb66dd1f3162,Mistral Small 2603,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,89,74,66,1.1
67,c9fc700c5b47,Qwen 3.8 Max,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,63,14,13.2,1.1
68,82b4164e20a6,Gemini 3.8 Flash,base,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,B,102,11,38.5,1.1
69,aa9a087b9df2,Qwen 3.8 Max,flagship,guided,flagged:overlapping_options,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,A,74,11,13.5,1.1
70,12be5d208ef9,DeepSeek V4 Pro,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,55,57,47.8,1.1
71,33896bc834d4,Gemini 3.1 Pro,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,118,10,10,1.1
72,05c4e87535a1,Qwen 3.6 27B,base,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,A,88,21,25.8,1.1
73,53118572c4fe,Llama 4 Maverick,base,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,54,18,31.8,1.1
74,3bafdce3d93b,Grok 4.6,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,52,37,61.5,1.1
75,84966f50b465,DeepSeek V4 Flash,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,A,54,35,18.8,1.1
76,6e575adf667f,DeepSeek V4 Flash,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,66,34,29.8,1.1
77,b153f925d3bf,Claude Fable 5.1,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,90,13,13,1.1
78,c2bac6b987d0,GPT-5.6 Luna,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,77,30,31.2,1.1
79,3207bf69cf08,Llama 4 Maverick,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,68,20,23.5,1.1
80,9b7b2d48d945,Llama 4 Maverick,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,39,50,40,1.1
81,39c85a519bc3,Llama 4 Maverick,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,62,30,21.2,1.1
82,f8f4ee18544c,Claude Fable 5.1,flagship,plain,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,A,113,20,20.5,1.1
83,2d0da05b737e,Mistral Small 2603,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,74,31,31,1.1
84,3bbfb78db1ff,Mistral Small 2603,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,67,61,48.8,1.1
85,57438248c4c3,Llama 4 Maverick,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,57,9,9.8,1.1
86,bfe69d9b3e8b,Mistral Small 2603,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,40,43,57.5,1.1
87,e327f52ec133,Claude Opus 5,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,85,72,70.8,1.1
88,af8688a7caeb,Gemini 3.1 Pro,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,109,47,51.8,1.1
89,f5983f4805df,DeepSeek V4 Flash,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,A,81,63,43.2,1.1
90,c06c7cb5e671,GPT-5.6 Luna,base,plain,flagged:vague_terms,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,A,92,90,74.5,1.1
91,b2fd50cf78e7,Qwen 3.8 Max,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,E,79,23,30.2,1.1
92,cf289cd26d21,Claude Sonnet 5,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,80,13,12,1.1
93,111812b7e831,Claude Opus 5,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,112,10,13,1.1
94,45f5ef4d25ff,Qwen 3.6 27B,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,87,54,38.5,1.1
95,d8a9def514e1,Mistral Small 2603,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,100,16,19,1.1
96,31305ad8e56d,Grok 4.6,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,D,98,75,32.5,1.1
97,9785067d2b07,Qwen 3.8 Max,flagship,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,5,C,89,40,24.2,1.1
98,42f28841d125,Claude Sonnet 5,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,87,30,40,1.1
99,30e4cd193a57,Claude Opus 5,flagship,plain,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,C,109,94,82.8,1.1
100,d5ee98bb22a0,DeepSeek V4 Flash,base,plain,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,77,64,49.2,1.1
101,71c629b10b4f,Qwen 3.6 27B,base,plain,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,75,72,47.8,1.1
102,2c554117e07d,Claude Opus 5,flagship,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,B,130,44,20,1.1
103,152a741a0dd5,GPT-6 Astra,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,53,9,9,1.1
104,bf362d040160,Qwen 3.6 27B,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,B,86,82,83.5,1.1
105,57bed7ed6e44,Claude Sonnet 5,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,C,95,143,72.5,1.1
106,9b0ea3f13baf,Grok 4.6,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,41,8,12.5,1.1
107,a1eb7a085421,Claude Sonnet 5,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,D,89,50,47.8,1.1
108,3ba0dbe9c00e,DeepSeek V4 Pro,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,104,42,46.8,1.1
109,573f611d8345,Qwen 3.6 27B,base,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,100,21,29,1.1
110,a2239bbdcf38,GPT-5.6 Terra,base,guided,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,70,8,18,1.1
111,0c1e5113e26a,Qwen 3.6 27B,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,88,51,48.2,1.1
112,a60f0cccb455,Grok 4.6,flagship,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,B,98,15,23.2,1.1
113,12377fe534ce,Gemini 3.8 Flash,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,100,34,37.8,1.1
114,947c5128da36,Mistral Small 2603,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,A,73,71,26.8,1.1
115,49a0a18c70fc,DeepSeek V4 Flash,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,50,10,10.8,1.1
116,5e3ba0dfa86a,Claude Opus 5,flagship,guided,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,C,85,53,58,1.1
117,294004f8b0bc,GPT-5.6 Luna,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,108,95,49.2,1.1
118,144d63a29949,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,60,39,25,1.1
119,d60fd7543a35,Claude Fable 5.1,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,125,47,41.2,1.1
120,5780ceff932d,Claude Sonnet 5,base,guided,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,B,92,36,34.8,1.1
121,950911ba45c5,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,B,158,59,23.8,1.1
122,820a409ffa08,GPT-5.6 Terra,base,plain,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,69,22,23,1.1
123,5305b0aaca5b,Mistral Small 2603,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,A,36,59,33.5,1.1
124,f8ac9ae0dd33,Claude Sonnet 5,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,5,A,77,29,42.8,1.1
125,4d0bb7ec2395,Qwen 3.8 Max,flagship,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,D,80,33,23.5,1.1
126,530418045b63,Claude Sonnet 5,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,D,89,68,50,1.1
127,6835916a00dc,Claude Opus 5,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,C,148,58,37.5,1.1
128,aba4f3b6c132,Mistral Small 2603,base,guided,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,48,12,24,1.1
129,c3cdc290787e,Qwen 3.6 27B,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,5,B,67,64,48,1.1
130,dbc4522566fd,Llama 4 Maverick,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,26,25,20.8,1.1
131,b9fa0923b956,Qwen 3.8 Max,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,111,39,26,1.1
132,2bd4277b89aa,Qwen 3.6 27B,base,guided,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,B,98,24,33.2,1.1
133,d0834362cd0c,GPT-5.6 Terra,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,C,65,112,81.5,1.1
134,e8932d637a1c,Claude Sonnet 5,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,B,97,42,50.8,1.1
135,564e2c4fcc68,Grok 4.6,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,D,99,28,23.8,1.1
136,44db95f7f81d,Claude Fable 5.1,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,125,11,12.2,1.1
137,6602191eb5c0,Claude Fable 5.1,flagship,guided,flagged:nonparallel_options,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,E,123,17,25,1.1
138,be8526e6d0c5,GPT-5.6 Luna,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,69,88,58,1.1
139,98d191dd13ad,Qwen 3.8 Max,flagship,guided,flagged:nonparallel_options,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,C,70,10,21.8,1.1
140,c7cbf8b192b9,GPT-5.6 Luna,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,52,66,52.8,1.1
141,20b44f378681,Qwen 3.8 Max,flagship,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,45,69,64.5,1.1
142,df0538b11798,GPT-6 Astra,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,B,127,33,53.5,1.1
143,afb4ec81dcb4,Qwen 3.6 27B,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,93,32,29,1.1
144,6cab963634ca,Claude Fable 5.1,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,127,89,75,1.1
145,e4aebf7ee91b,GPT-5.6 Terra,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,35,19,19.8,1.1
146,3c649d1b34a1,Qwen 3.8 Max,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,C,91,38,18.5,1.1
147,ff2430638e43,Claude Sonnet 5,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,79,10,9.5,1.1
148,55fbd60b9184,Qwen 3.6 27B,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,107,36,36.8,1.1
149,f2647c863cb5,Claude Opus 5,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,113,36,36,1.1
150,56627819ccee,DeepSeek V4 Pro,flagship,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,A,123,17,28,1.1
