job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
39952649106b,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,internal_medicine,0,guided,0,off,,Anthropic,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,C,128,28,18
81eb1b2790ea,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pediatrics,1,guided,0,off,,Google,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,108,21,20.8
8b8b9053c125,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,1,plain,0,off,,GMICloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,84,73,69.2
c4524a3d18fd,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,internal_medicine,1,guided,0,off,,Alibaba,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,95,7,10
5475973c2414,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,pediatrics,0,guided,0,off,,OpenAI,203,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,5,E,88,31,33.2
09efeec5d689,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pediatrics,0,guided,0,off,,Alibaba,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,90,37,31.8
9252336706e6,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,internal_medicine,0,plain,0,off,,Alibaba,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,125,51,51
3cde4ea81fb5,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,internal_medicine,1,plain,0,off,,OpenAI,262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,116,74,75.5
cb17c4581a47,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,pediatrics,1,plain,0,off,,OpenAI,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,100,83,59
22cb977ffae2,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pediatrics,0,plain,0,off,,Google,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,85,37,26.8
ad823151f6b7,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,internal_medicine,1,guided,0,off,,Anthropic,786,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,150,31,56.2
5e3699071f0a,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pediatrics,1,plain,0,off,,Google,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,100,70,64.8
e6b00116a211,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,pediatrics,1,guided,0,off,,Anthropic,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,114,29,24.8
75d20f3d1b6d,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pediatrics,1,plain,0,off,,GMICloud,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,C,74,44,23
5a6f81506c73,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,internal_medicine,0,guided,0,off,,Alibaba,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,95,29,29
84d9207c3507,x-ai/grok-4.6,Grok 4.6,commercial,flagship,internal_medicine,0,plain,0,off,,xAI,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,D,89,12,18.8
5149e0a7ad71,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pediatrics,0,plain,0,off,,AtlasCloud,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,A,78,40,21
3033c58b32d8,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,pediatrics,0,guided,0,off,,Anthropic,767,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,5,C,141,27,17.2
978f0bec4c35,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,1,plain,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,C,138,79,76.8
1514b2146929,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,1,guided,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,149,35,32.2
369ced860bcf,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,internal_medicine,1,plain,0,off,,Anthropic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,170,32,88.5
defb72a89de4,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pediatrics,0,plain,0,off,,xAI,578,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,D,76,39,21.2
67599cf45286,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pediatrics,0,guided,0,off,,xAI,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,76,18,18.5
e14c9057194b,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pediatrics,1,guided,0,off,,Alibaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,88,40,28.8
58a9198d7a8a,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pediatrics,1,plain,0,off,,Alibaba,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,96,63,51
017803bc88df,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,0,guided,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,B,146,40,26.5
6dfcd997cdcf,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,pediatrics,1,guided,0,off,,OpenAI,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,82,21,21.8
ddefd2c7f2d1,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,pediatrics,0,plain,0,off,,OpenAI,152,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,92,48,32.8
630bc5794cfd,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,pediatrics,1,plain,0,off,,Anthropic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,118,52,45.8
ad4b24a65394,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pediatrics,1,plain,0,off,,xAI,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,79,18,23.5
ed04ae0f6cd6,x-ai/grok-4.6,Grok 4.6,commercial,flagship,internal_medicine,0,guided,0,off,,xAI,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,88,29,30.2
a2dcc4a3281f,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,internal_medicine,1,plain,0,off,,Alibaba,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,93,74,79.8
59dac43b1168,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,internal_medicine,1,plain,0,off,,Google,2345,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,B,104,66,37.8
2ec092f772bf,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,0,guided,0,off,,StreamLake,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,100,29,24.2
c2c7bde2c73a,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,pediatrics,1,guided,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,101,21,25.2
0787141a64cb,x-ai/grok-4.6,Grok 4.6,commercial,flagship,internal_medicine,1,guided,0,off,,xAI,4579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,74,7,9.5
cb692714babe,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pediatrics,0,guided,0,off,,Google,1706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,E,82,16,13.2
3e135bd7944d,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pediatrics,0,guided,0,off,,StreamLake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,E,112,47,33.8
4c9940414892,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,internal_medicine,1,guided,0,off,,Google,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,85,36,33
bab8ddf1399b,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pediatrics,1,guided,0,off,,xAI,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,73,18,21
cb3663127541,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pediatrics,1,guided,0,off,,Alibaba,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,56,29,32.8
