item_id,keyed_answer,q1,q2,q3,q4,q5,justification,minutes,rater,submitted_utc,q1_raw,q2_raw,q3_raw,q4_raw,q5_raw
MAIN-067,D,yes,yes,yes,yes,yes,,2.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-068,C,yes,yes,yes,yes,yes,,1.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-069,A,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-070,E,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-071,A,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-072,C,yes,yes,yes,yes,yes,,5.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-073,A,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-074,C,yes,yes,yes,yes,yes,,2.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-075,C,yes,yes,no,yes,minor edits,The answer should be  planned delivery between 36 to 39 weeks and Urodeoxycholic acid according to SMFM guidelines,10.0,R2,2026-09-21T10:17,yes,yes,No,yes,minor edits
MAIN-076,A,yes,yes,yes,yes,minor edits,Not a good clinical question for step 2.It is good for step 1,2,R2,2026-09-21T10:17,yes,yes,yes,yes,minor edits (corrected by chat reply 21 Sep 06:52; sheet said yes)
MAIN-077,A,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-078,A,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-079,C,no,yes,yes,yes,no,"For an asymptomativc hernia,observation is chosen.Repair is chosen when there is risk and patient is symptomatic than we can decide btw elective or laproscopy",7.0,R2,2026-09-21T10:17,no,yes,yes,yes,no
MAIN-080,B,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-081,B,yes,yes,no,yes,minor edits,The ABG should be mention like ph less than 7.35 and paco2 elevated as this is the best indication for noninvasive positive pressure ventilation,6.0,R2,2026-09-21T10:17,yes,yes,no,yes,minor edits
MAIN-082,B,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-083,C,yes,yes,yes,yes,minor edits,Medical therapy can also be added in the answer,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,minor edits
MAIN-084,B,yes,yes,yes,yes,yes,,2.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-085,A,yes,yes,yes,yes,yes,,5.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-086,A,yes,yes,yes,yes,yes,,2.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-087,B,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-088,C,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-089,A,yes,yes,no,yes,no,The question stem is incomplete as it should be complete by asking what is the most appropiate treatment?,2.0,R2,2026-09-21T10:17,yes,yes,No,yes,No
MAIN-090,C,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-091,C,yes,yes,yes,yes,yes,,4.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-092,A,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-093,D,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-094,D,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-095,B,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-096,A,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-097,A,yes,yes,yes,yes,yes,,3.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
MAIN-098,A,no,yes,yes,yes,no,Propranolol and topiramate are first line so both can be answer,6.0,R2,2026-09-21T10:17,no,yes,yes,yes,no
MAIN-099,A,yes,yes,no,yes,no,SbP usually presents with fever and abdominal pain or it should mention paracentesis with pmn greater than 250,7,R2,2026-09-21T10:17,yes,yes,no,yes,no
MAIN-100,C,yes,yes,yes,yes,yes,,5.0,R2,2026-09-21T10:17,yes,yes,yes,yes,yes
